Gene_ID	adrenal.gland	colon	esophagus	gall.bladder	heart	kidney	liver	lung	ovary	pancreas	rectum	testis	urinary.bladder
ENSG00000106803	4.140778225	5.263365391	0	4.976989896	0	4.641290475	24.69412319	7.09956853	4.754741536	31.72828678	4.147248642	9.117320579	1.896966663
ENSG00000106804	8.98603403	9.611719998	6.423098854	18.17895855	3.892568953	5.405827583	7.292366803	2.340505074	7.762297544	4.447566213	2.302267094	5.802569619	7.084660302
ENSG00000106809	38.73450728	380.1242534	216.4692589	554.2798291	17.99746983	23.15335559	15.70155623	105.5966529	146.1544302	62.80624069	206.8928304	145.3506869	210.0081371
ENSG00000106819	6.689612052	57.49475563	10.95554671	101.9748367	3.363248054	15.19531032	7.844382655	13.93608454	14.30470928	103.3502218	40.50077637	13.32532238	24.74842433
ENSG00000106823	0	0	0	0	0	0	0	0	1.204092309	0	0	0	0
ENSG00000106829	0	0	0	0	0	0	0	0	1.669772073	0	0	5.204181153	0
ENSG00000106853	33.9184464	12.55045659	10.50058578	26.4602991	6.8359015	67.72037478	144.3946943	9.028375011	20.5934521	19.69029591	12.34176603	30.13023915	14.43423765
ENSG00000106868	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000106927	12.0565208	18.64874436	15.72680848	64.50367144	9.975453686	20.66492369	5.781570887	11.66070227	26.01053851	12.87850573	11.98719821	28.24298774	9.491249083
ENSG00000106948	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000106976	0	0	0	0.786158655	0	0	0	0	0	1.312983735	0	0	0.53800477
ENSG00000106991	2.483926755	0.341573032	0	1.901719144	0	1.326660422	3.321230662	5.166916581	12.8375985	4.558983177	0	9.765739813	2.276171554
ENSG00000106992	29.3090321	19.86992886	37.81741376	16.41511913	104.3595687	5.15883567	8.60433196	14.01758705	30.20510841	10.75677434	19.7133462	40.55424166	22.18732036
ENSG00000106993	0	0	0	0	0	0	0	0	0.4353771	1.54665472	0	2.986284422	0
ENSG00000107020	0.885918044	5.207050917	0	1.668637963	7.726500544	5.661378381	0	0	1.173622773	2.988432416	3.097355461	2.665276532	1.821134155
ENSG00000107021	2.344811003	0	0	0	0	2.120045717	0	0	1.403340729	0.385825854	0	2.112535533	0.623102442
ENSG00000107099	2.401658006	0.354467822	0	0.959261302	0	0	0	0	0	1.544647697	0.680620446	0.884838237	0
ENSG00000107104	0	0	0	1.173373342	0	0	2.321278586	0	0.271023409	1.432195356	0	1.156499222	0.922913937
ENSG00000107105	0	0	0	0	0	0	0	0	10.11784401	0	0	10.91174612	0
ENSG00000107130	0	4.664770619	0	0	0	0	0	0	0.884350753	0	0	0	2.028099372
ENSG00000107164	11.3091498	5.399523223	0	2.002798606	0	0	3.854066974	6.818742323	3.900006017	8.01775746	7.850963435	4.352781349	4.543345678
ENSG00000107186	0	0	0	0	0	0	4.653572903	0	0	0	0	1.260731261	0.240743873
ENSG00000107201	1.515273398	1.189750367	0	0	0	0	0.871412938	1.885828871	1.652941527	0.880191036	1.629547252	1.808212464	0.529305991
ENSG00000107223	0	5.120125261	0	1.767169049	0	0	6.559121846	0	4.636788275	5.749943589	5.965201634	7.991556949	4.532926156
ENSG00000107242	0	0	0	0	0	0	0	0	0	0	0	0.822890261	0
ENSG00000107262	0	0.26156032	0	0	0	0	0	0	0.439522228	0.217502867	0	1.162086428	0.753310297
ENSG00000107263	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000107282	0	0	0	0	0	0	0	0	0	0	0	0.532700558	0
ENSG00000107290	0	0	0	0	0	0	0	0	1.124163265	0	0	1.706918292	0
ENSG00000107295	0	0	0	0	0	0	0	0	0	0.279234527	0	0	0
ENSG00000107317	0	0	0	9.027593261	0	0	0	0	28.41707414	3.112145382	0	12.95063493	0.882402979
ENSG00000107331	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000107341	0	0	0	0	0	0	0	0	0	5.271880359	0	1.812216426	0
ENSG00000107362	0	0	0	0	0	0	0	0	0	0	0	1.22436658	0
ENSG00000107371	0	0.191638332	0	0	0	0	0	0	0	1.964503971	0	1.65847973	0
ENSG00000107438	3.385292988	14.65818597	11.7867151	21.60192045	31.57259534	3.451487548	4.766506143	9.505077091	2.087246584	22.86522761	19.17272371	2.22028457	6.552600547
ENSG00000107537	5.35451155	0	0	0	0	2.671787374	7.990860588	0	0	0	0	1.363335276	0
ENSG00000107554	0	0	0	0	0	0	0	0	0.847477159	0	0	1.078689191	0.42859157
ENSG00000107560	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000107562	0	0	0	0	0	0	0	0	2.051454797	0	0	0	0
ENSG00000107566	4.510573146	2.412189843	0	2.473047586	0	1.655849681	9.32580798	2.815213498	8.028192696	7.463602423	1.922435953	7.230608648	2.560641041
ENSG00000107581	20.69465486	4.385091789	6.621702912	6.430580029	4.581318914	0.952201209	18.67704131	5.924932461	14.56736698	17.71354399	10.37014733	12.62014876	7.26161626
ENSG00000107611	0	0	0	0	0	28.1244931	0	0	0	0	0	0	0
ENSG00000107625	1.369793304	0	0	0	0	0	0	0	2.866233597	0	0	1.976749163	0
ENSG00000107643	0	0.478647048	0	0	0	0	0	0	0	0	0	0.897492636	0
ENSG00000107651	3.084949206	2.990849406	0	1.442532578	0	0	4.50026454	1.901632696	7.302904715	6.300948862	2.160869051	5.909537434	1.188864015
ENSG00000107669	0	1.571270062	0	1.255754038	0	0	1.992397764	0	1.645508464	1.659553641	1.522674193	5.216390836	3.115245336
ENSG00000107672	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000107679	0	0	0	0	0	0	0	0	0	3.512582232	0	0.888487707	0
ENSG00000107719	0	1.147979346	0	0	0	0	0	0	0	0	0	0.436289795	0
ENSG00000107731	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000107738	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000107742	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000107745	0	2.993335622	0	0	0	0	0	0	0.506543404	0	0	0	0
ENSG00000107758	0	2.095468271	0	0	0	0	0	0	1.229130711	0.124500385	3.960928185	2.333031652	4.174744008
ENSG00000107789	2.541822528	0	0	0	0	0	0	0	0.575668342	0	0	2.028036593	0
ENSG00000107796	626.4752334	7273.956196	5109.976271	12991.24767	13584.13791	390.5677331	330.3985096	798.4563463	2200.99937	274.4277795	0	0	20748.60091
ENSG00000107798	6.264020743	0	0	0	0	0	3.799153867	0	0	0	0	0	0
ENSG00000107819	7.084049843	8.000868584	4.931671029	7.861380927	0	3.29721124	1.930928537	9.212475953	5.906639552	7.396999741	4.567548091	10.03066375	4.327749146
ENSG00000107833	0	0	0	0	0	0	0	0	4.34918231	0	0	0	0
ENSG00000107862	2.022864925	2.656586129	0	1.550794803	0	0	4.234893139	0	6.340654159	4.635082645	1.215821837	2.90482712	1.218402493
ENSG00000107863	0	0	0	0	0	0	0	0	0	0	0	0.403375684	0
ENSG00000107864	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000107872	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000107897	0.856046396	0	0	0	0	0	2.08789292	0	2.629555282	0	0	4.999281729	0
ENSG00000107902	6.234456687	5.712718048	0	3.77261344	0	8.117770139	12.53845839	0	10.51401003	2.51268367	10.45838463	8.5568407	7.955659969
ENSG00000107929	0.606532078	0	0	0	0	0	0	0	2.196417076	1.846287607	0	2.876391207	0
ENSG00000107937	3.746448069	0	0	0	0	0	2.100024111	0	2.638879043	4.801804133	2.419326276	2.694888171	0
ENSG00000107938	0	0	0	0	0	0	0	0	2.512047773	0	0	1.464341226	0
ENSG00000107949	0	0	0	0	0	0	6.086373501	0	1.727983251	0	0	7.762542627	0
