Gene ID	brain	liver	testis
ENSMUSG00000001665	0.66349538	171.3036492	40.79615133
ENSMUSG00000001666	104.5937839	1529.564015	931.4104387
ENSMUSG00000001670	0	0.966569317	0
ENSMUSG00000001687	1.601700964	0.625757844	1.905268904
ENSMUSG00000001707	11.67436143	11.738997	27.20127133
ENSMUSG00000001729	3.439914869	0.221210756	1.967430083
ENSMUSG00000001755	10.17278146	17.3449564	12.1615756
ENSMUSG00000001767	0.041572999	0.086044054	2.838549934
ENSMUSG00000001773	3.004569436	0.136813417	0.45282692
ENSMUSG00000001774	17.12346172	17.33393509	53.53775404
ENSMUSG00000001783	24.78828514	14.75105753	72.56742043
ENSMUSG00000001785	0.541997076	0.251551788	1.278318739
ENSMUSG00000001786	0.976496813	0.074860661	6.10345073
ENSMUSG00000001827	0.398839561	0	5.511624508
ENSMUSG00000001829	4.027955386	0.683840174	2.325864102
ENSMUSG00000001847	586.3961085	118.8616397	148.8990456
ENSMUSG00000001855	0.24874734	0.310230565	0.945036975
ENSMUSG00000001864	0	0	0
ENSMUSG00000001891	32.58184226	67.18463902	37.32116878
ENSMUSG00000001924	199.485557	146.0842875	223.2622334
ENSMUSG00000001942	0.246741162	1.737607541	0.404839065
ENSMUSG00000001946	0.429232931	0.375911119	0.564645095
ENSMUSG00000001948	0	0.041490064	117.6529809
ENSMUSG00000001962	0	0.9764885	2.208448542
ENSMUSG00000001964	7.364131563	9.464067937	18.29294131
ENSMUSG00000001983	16.89982215	10.1597074	1.524387794
ENSMUSG00000001985	0.349685839	0.150324252	2.417810845
ENSMUSG00000001986	0.970717891	0.040904638	0
ENSMUSG00000001998	0.233858395	0.661149232	0.211175338
ENSMUSG00000001999	40.97396412	23.41381104	51.08296305
ENSMUSG00000002010	311.8644411	44.14879425	35.88800827
ENSMUSG00000002012	3.87281718	0	0
ENSMUSG00000002014	19.39838356	379.8593428	51.44988668
ENSMUSG00000002015	15.58288577	59.24605072	6.126761172
ENSMUSG00000002017	0.470535776	0.926827752	1.524675577
ENSMUSG00000002031	0	0.131400006	2.075780471
ENSMUSG00000002033	0	0	0
ENSMUSG00000002043	0	0	0.15620874
ENSMUSG00000002052	0.204418783	0.056974363	1.579354391
ENSMUSG00000002055	0	0	0.064800151
ENSMUSG00000002058	2.688702035	0.055994115	6.64793661
ENSMUSG00000002102	29.95971529	15.34231866	154.366927
ENSMUSG00000002103	0.692296023	0.208938198	1.116857955
ENSMUSG00000002109	0	0	2.466877887
ENSMUSG00000002129	1.199854484	1.743247861	35.42323834
ENSMUSG00000002147	0.057685854	0.854151905	0.737660376
ENSMUSG00000002190	0.900008321	0.072883307	644.6632238
ENSMUSG00000002204	0	0	0
ENSMUSG00000002210	1.378625191	0.099295564	6.243601166
ENSMUSG00000002222	0.289166904	0.335125771	1.400137382
ENSMUSG00000002227	4.055064636	9.441376995	3.749527763
ENSMUSG00000002233	3.619907136	2.062217681	4.285667929
ENSMUSG00000002280	0	1.022453867	0.924215858
ENSMUSG00000002319	3.413416399	4.10693092	40.49397894
ENSMUSG00000002320	0	0	0.171216635
ENSMUSG00000002326	4.951549225	0	2.114918991
ENSMUSG00000002329	33.0972469	11.47318881	18.44690534
ENSMUSG00000002332	35.78655972	99.5808217	13.05672535
ENSMUSG00000002343	9.970284286	3.52636695	9.784917759
ENSMUSG00000002345	0.368004551	0	0.68626229
ENSMUSG00000002346	3.965702774	17.8318392	0.609783896
ENSMUSG00000002365	1.163113698	0.717098613	6.863630144
