Gene ID	brain	liver	testis
ENSMUSG00000002332	16	25	41
ENSMUSG00000002343	7	1	1
ENSMUSG00000002345	6	3	8
ENSMUSG00000002346	3	5	0
ENSMUSG00000002365	6	18	4
ENSMUSG00000002372	21	7	38
ENSMUSG00000002395	48	25	75
ENSMUSG00000002413	6	1	4
ENSMUSG00000002416	37	33	13
ENSMUSG00000002455	28	33	22
ENSMUSG00000002458	5	0	3
ENSMUSG00000002475	52	41	6
ENSMUSG00000002477	107	29	87
ENSMUSG00000002524	63	23	60
ENSMUSG00000002565	0	0	0
ENSMUSG00000002580	39	27	26
ENSMUSG00000002588	0	229	0
ENSMUSG00000002602	8	4	7
ENSMUSG00000002603	3	4	5
ENSMUSG00000002608	12	5	15
ENSMUSG00000002635	8	3	17
ENSMUSG00000002658	37	12	128
ENSMUSG00000002660	24	20	6
ENSMUSG00000002661	6	4	9
ENSMUSG00000002688	4	0	1
ENSMUSG00000002699	0.7	2	0.9
ENSMUSG00000002718	15	8	18
ENSMUSG00000002728	14	3	7
ENSMUSG00000002731	7	5	8
ENSMUSG00000002741	22	13	12
ENSMUSG00000002748	11	7	2
ENSMUSG00000002763	9	10	8
ENSMUSG00000002767	24	26	18
ENSMUSG00000002768	130	80	1591
ENSMUSG00000002769	1	1373	1
ENSMUSG00000002778	15	19	6
ENSMUSG00000002797	8	3	7
ENSMUSG00000002804	6	9	5
ENSMUSG00000002808	54	0	0
ENSMUSG00000002812	14	8	5
ENSMUSG00000002825	8	1	6
ENSMUSG00000002831	1	0.9	0.7
ENSMUSG00000002844	39	5	18
ENSMUSG00000002846	11	15	4
ENSMUSG00000002870	0.9	0.8	2
ENSMUSG00000002881	13	35	4
ENSMUSG00000002900	4	2	3
ENSMUSG00000002930	0	0	0
ENSMUSG00000002944	0	15	10
ENSMUSG00000002949	14	13	16
ENSMUSG00000002957	36	20	14
ENSMUSG00000002980	5	0.8	1
ENSMUSG00000002981	34	21	19
ENSMUSG00000002983	1	0.7	0.8
ENSMUSG00000002984	12	4	4
ENSMUSG00000002985	524	4806	27
ENSMUSG00000002997	14	0	3
ENSMUSG00000003031	15	7	2
ENSMUSG00000003033	11	4	50
ENSMUSG00000003037	9	13	9
ENSMUSG00000003053	0	339	0
ENSMUSG00000003072	69	59	29
ENSMUSG00000003099	32	10	13
ENSMUSG00000003131	62	12	92
ENSMUSG00000003134	3	6	3
ENSMUSG00000003135	12	7	6
ENSMUSG00000003153	16	0	114
ENSMUSG00000003184	6	10	10
ENSMUSG00000003200	14	6	35
ENSMUSG00000003208	9	5	7
ENSMUSG00000003226	18	19	19
ENSMUSG00000003228	3	5	2
ENSMUSG00000003234	25	20	35
ENSMUSG00000003235	25	16	37
ENSMUSG00000003299	23	11	14
ENSMUSG00000003308	11	9	12
ENSMUSG00000003316	15	5	3
ENSMUSG00000003346	51	13	49
ENSMUSG00000003348	0.5	0	0.6
ENSMUSG00000003354	8	0	261
ENSMUSG00000003355	1	16	0
ENSMUSG00000003363	85	4	15
ENSMUSG00000003379	0	0	0
ENSMUSG00000003380	48	15	40
ENSMUSG00000003411	9	0	1
ENSMUSG00000003420	9	51	3
ENSMUSG00000003423	9	9	60
ENSMUSG00000003429	231	188	186
ENSMUSG00000003435	43	22	68
ENSMUSG00000003437	20	10	26
ENSMUSG00000003438	13	9	7
ENSMUSG00000003458	14	10	14
ENSMUSG00000003464	15	11	5
ENSMUSG00000003469	98	0	0
ENSMUSG00000003477	0	84	0
ENSMUSG00000003484	0	0	0
ENSMUSG00000003500	15	0.9	1
ENSMUSG00000003518	24	7	21
ENSMUSG00000003526	8	36	0.9
ENSMUSG00000003528	11	56	10
ENSMUSG00000003546	13	26	12
ENSMUSG00000003555	0	15	78
ENSMUSG00000003559	6	28	8
ENSMUSG00000003573	4	0	0.7
ENSMUSG00000003575	6	0	0.8
ENSMUSG00000003585	13	141	1
ENSMUSG00000003604	4	7	67
ENSMUSG00000003617	3	202	1
ENSMUSG00000003623	7	102	2
ENSMUSG00000003644	3	1	10
ENSMUSG00000003657	56	0	0
ENSMUSG00000003660	16	11	21
ENSMUSG00000003662	14	8	5
ENSMUSG00000003731	14	7	56
ENSMUSG00000003746	4	38	0
ENSMUSG00000003808	7	5	9
ENSMUSG00000003809	11	145	2
ENSMUSG00000003812	1	6	0.5
ENSMUSG00000003813	24	16	31
ENSMUSG00000003814	329	671	311
ENSMUSG00000003824	2	2	127
ENSMUSG00000003848	9	3	4
ENSMUSG00000003849	3	3	1
ENSMUSG00000003863	33	0	0
ENSMUSG00000003865	4	0	0
ENSMUSG00000003868	8	3	48
ENSMUSG00000003872	29	0	0.8
ENSMUSG00000003873	35	17	8
ENSMUSG00000003934	28	0	0
ENSMUSG00000003955	24	28	25
ENSMUSG00000003970	338	257	334
ENSMUSG00000003974	12	0	0
ENSMUSG00000004031	12	0	0
ENSMUSG00000004032	100	4	1032
ENSMUSG00000004035	17	58	36
ENSMUSG00000004038	0	39	0
ENSMUSG00000004043	0	0.8	0.6
ENSMUSG00000004044	8	3	4
ENSMUSG00000004056	7	7	6
ENSMUSG00000004070	65	34	430
ENSMUSG00000004096	154	122	161
ENSMUSG00000004099	7	2	6
ENSMUSG00000004207	461	108	58
ENSMUSG00000004221	3	11	0
ENSMUSG00000004233	0.7	0	0
ENSMUSG00000004264	15	26	10
ENSMUSG00000004266	1	10	0.8
ENSMUSG00000004267	169	0	0
ENSMUSG00000004268	21	22	17
ENSMUSG00000004270	4	17	37
ENSMUSG00000004285	51	18	42
ENSMUSG00000004317	1	0.5	0
ENSMUSG00000004364	51	33	191
ENSMUSG00000004366	256	0	0
ENSMUSG00000004394	31	20	30
ENSMUSG00000004446	3	4	1
ENSMUSG00000004451	6	4	6
ENSMUSG00000004460	58	109	55
ENSMUSG00000004530	6	1	1
ENSMUSG00000004535	47	42	84
ENSMUSG00000004558	356	350	6
ENSMUSG00000004567	13	6	2
ENSMUSG00000004568	5	3	1
ENSMUSG00000004591	3	6	7
ENSMUSG00000004610	39	230	41
ENSMUSG00000004626	8	7	16
ENSMUSG00000004637	2	0.5	2
ENSMUSG00000004642	12	7	36
ENSMUSG00000004655	2	16	0.5
ENSMUSG00000004665	2	2	1
ENSMUSG00000004667	12	4	8
ENSMUSG00000004707	0	0.5	0.8
ENSMUSG00000004730	1	5	1
ENSMUSG00000004748	28	11	3
ENSMUSG00000004771	50	26	42
ENSMUSG00000004788	9	4	8
ENSMUSG00000004789	58	75	34
ENSMUSG00000004815	2	1	0
ENSMUSG00000004837	2	1	0.5
ENSMUSG00000004843	81	52	152
ENSMUSG00000004846	7	6	3
ENSMUSG00000004849	45	5	5
ENSMUSG00000004865	9	4	49
ENSMUSG00000004880	2	2	3
ENSMUSG00000004885	1	0	0
ENSMUSG00000004892	44	0	0
ENSMUSG00000004897	47	48	86
ENSMUSG00000004902	47	0	5
ENSMUSG00000004934	4	3	34
ENSMUSG00000004936	80	19	3
ENSMUSG00000004945	17	10	16
ENSMUSG00000004951	15	25	13
ENSMUSG00000004961	52	0	4
ENSMUSG00000004980	177	147	134
ENSMUSG00000004996	2	2	0.5
ENSMUSG00000005045	13	0	34
ENSMUSG00000005054	13	11	4
ENSMUSG00000005089	194	10	2
ENSMUSG00000005102	4	2	1
ENSMUSG00000005103	51	15	28
ENSMUSG00000005125	26	3	2
ENSMUSG00000005142	9	20	6
ENSMUSG00000005161	30	11	6
ENSMUSG00000005198	9	6	19
ENSMUSG00000005204	19	7	14
ENSMUSG00000005237	0	0	8
ENSMUSG00000005262	11	7	21
ENSMUSG00000005299	20	18	8
ENSMUSG00000005312	74	57	36
ENSMUSG00000005338	31	0	0
ENSMUSG00000005354	28	35	18
ENSMUSG00000005357	5	0	0
ENSMUSG00000005360	40	0	0.5
ENSMUSG00000005370	9	7	16
ENSMUSG00000005374	3	2	11
ENSMUSG00000005378	8	5	5
ENSMUSG00000005397	2	3	3
ENSMUSG00000005413	2	8	2
ENSMUSG00000005442	10	2	4
ENSMUSG00000005447	8	1	9
ENSMUSG00000005470	0	0	9
ENSMUSG00000005481	4	3	20
ENSMUSG00000005483	38	22	183
ENSMUSG00000005501	2	2	2
ENSMUSG00000005510	30	27	22
ENSMUSG00000005514	16	42	4
ENSMUSG00000005534	5	13	1
ENSMUSG00000005566	19	8	61
ENSMUSG00000005575	74	20	99
ENSMUSG00000005580	3	2	0
ENSMUSG00000005609	10	5	14
ENSMUSG00000005615	7	12	18
ENSMUSG00000005625	51	46	59
ENSMUSG00000005656	63	23	22
ENSMUSG00000005667	4	1	8
ENSMUSG00000005674	2	0	0
ENSMUSG00000005681	3	8855	3
ENSMUSG00000005683	78	40	21
ENSMUSG00000005686	3	0	0
ENSMUSG00000005687	39	17	78
ENSMUSG00000005698	17	8	6
ENSMUSG00000005716	111	0	0
ENSMUSG00000005732	25	11	27
ENSMUSG00000005763	0	0	0.8
ENSMUSG00000005779	89	73	55
ENSMUSG00000005803	3	59	121
ENSMUSG00000005804	11	4	5
ENSMUSG00000005813	9	7	8
ENSMUSG00000005846	22	17	16
ENSMUSG00000005881	50	33	78
ENSMUSG00000005882	7	3	8
ENSMUSG00000005886	4	3	5
ENSMUSG00000005907	3	3	0.8
ENSMUSG00000005951	1	11	0.8
ENSMUSG00000005958	2	0	0
ENSMUSG00000005973	14	6	5
ENSMUSG00000005981	31	78	47
ENSMUSG00000006005	17	13	16
ENSMUSG00000006010	22	17	5
ENSMUSG00000006024	37	9	18
ENSMUSG00000006050	18	25	16
ENSMUSG00000006058	27	15	20
ENSMUSG00000006095	82	23	65
ENSMUSG00000006127	6	2	23
ENSMUSG00000006134	10	8	3
ENSMUSG00000006154	2	0.5	0
ENSMUSG00000006219	0	0	0.5
ENSMUSG00000006221	0	0	6
ENSMUSG00000006262	2	4	1
ENSMUSG00000006273	103	8	7
ENSMUSG00000006276	13	4	3
ENSMUSG00000006281	0.9	2	2
ENSMUSG00000006288	16	3	7
ENSMUSG00000006304	81	42	63
ENSMUSG00000006315	46	51	32
ENSMUSG00000006333	73	80	59
ENSMUSG00000006342	3	0	0.8
ENSMUSG00000006344	0.7	0	0
ENSMUSG00000006345	0.6	0	0
ENSMUSG00000006356	21	11	19
ENSMUSG00000006360	2	0.9	2
ENSMUSG00000006369	2	0	1
ENSMUSG00000006373	183	667	67
ENSMUSG00000006378	2	20	0.7
ENSMUSG00000006386	4	4	0.6
ENSMUSG00000006390	7	9	1
ENSMUSG00000006392	9	17	14
