GeneID	adipose.tissue	adrenal.gland	appendix	urinary.bladder	bone.marrow	colon	duodenum	endometrium	esophagus	fallopian.tube	gall.bladder	heart	kidney	liver	lung	lymph.node	ovary	pancreas	placenta	prostate	rectum	salivary.gland	small.intestine	smooth.muscle	spleen	stomach	testis	thyroid	tonsil
ENSG00000132912	11.71258656	7.862020695	5.480977477	2.961234424	4.806217366	3.885926257	4.614351453	20.62673406	3.549773773	8.784714306	7.180450328	4.208100844	4.540625015	3.216441966	5.206583666	4.985339359	8.056699255	5.414080146	4.139203494	4.04714958	7.000401742	8.302386855	7.651771652	11.62678114	4.88261817	10.49805432	9.081877694	5.380780669	3.962114786
ENSG00000132932	0	0.025862017	0.03340878	0	0	0.0226367	0.022990157	0.003241252	0.008775279	0.018594897	0	0	0.01801729	0.115770322	0.012526644	0	0.183026043	0	0.00359796	0.052861156	0.022962462	0	0.012536655	0.048849651	0	0.007769123	0	0.038666737	0.021652828
ENSG00000132938	0.024066679	0.039307208	0.209704871	0.041043888	0.033538261	1.678928605	0	0.003933571	0.145097829	0.089634381	0.001219836	0.30965911	0.129338402	0.021143001	0.028676683	0	0.091097021	0.587899804	0	1.318914878	0.027936463	0.020881739	0.654783538	0	0.000987122	0.326015462	0	0	0.016054491
ENSG00000132950	0	0	0	0	0	0.003921123	0	0	0	0	0	0	0	0	0	0	0	0	0	0.046060409	0	0	0.443659385	0	0	0.003663187	0.001437973	0	0.001745275
ENSG00000132953	1.051278987	0.596070154	0.420086172	1.556619795	0.090231387	0.384183817	0.79798026	3.3600088	1.931364012	0.599117331	0.639182072	0.803263762	0.728154652	0.392257796	0.773468663	1.240887952	0.77565429	0.391591412	0.842096729	0.290797218	0.386618761	0.530950775	0.540014389	3.428960154	1.135342862	0.356809347	1.082986762	0.394102643	1.15801852
ENSG00000132958	0.112080149	0	0.047279041	0	0	0	0	0	0.060091182	0	0.116574605	0.024293079	0	0	0.782441855	0	0	0	0	0.285531639	0	0	0	0	0	0	0	0.018415577	0
ENSG00000132963	0.338631406	0.930891322	0.455730611	0.144734271	0.014625515	0.624754095	1.321359455	0.334219531	0.502096094	1.6509093	0.462012197	0.334438882	0.113725183	0.746195346	0.291159603	1.673096838	0.582257108	1.534304071	1.507226811	0.613316598	1.418597882	0.252284555	0.906464126	0.446081654	0.054178466	0.874322294	11.3799197	0.733851451	1.465786352
ENSG00000132964	0	0	0	0.262208024	0	0	0.050157431	0	0.044718273	0	0	0.096957096	0	0	0.167351733	0	0	0	0.006597017	0	0	0	0	0	0	0	0.183924539	0	0.032224383
ENSG00000132965	58.30513121	0.939982171	5.436665559	4.287763473	56.32857492	0.332920613	0.947959851	0	0	1.187612833	0.020149709	0	2.659591292	0.492855939	2.387704929	0.819064911	0	0	3.84806227	0.046049149	0.088741099	0	10.0697982	13.59810106	19.22177184	1.705820847	0	0	32.47516414
ENSG00000132970	0.799280912	0.925243415	0.147479012	0.109789818	0.13212424	0.720525271	0.282239488	0.851629111	0.170425026	0.945204225	0.352272382	0.34091508	1.034186826	0.546828117	7.131043303	0.13830417	10.65035061	0.324242091	0.026960025	2.13583028	0.888832644	0.508153905	0.063151869	3.043036055	0.780116404	1.315900754	0.089518527	0.939450016	0.090968383
ENSG00000132972	0.01930994	0.09934271	0.011622564	0.003085217	0	0.048556171	0.00681054	0.005938952	0	0.013366648	0.032746397	0.105243107	0	0.108094279	0	0.171854326	0.284628537	0.079274878	0	0	0	0	0.03536484	0	0.045797974	0.551756664	2.169556561	0.182413128	0.035317353
ENSG00000133019	0	0	0	0	0	0	0	0	0	0	0	0.154421124	0	0	0	0	0	0.133348155	0	0	0	0.676967403	0	0	0	0	0	0	0
ENSG00000133020	0.010857764	0	0	0	0	0.001757349	1.601228398	0	0.023578279	0	0	0.005927384	0	0.003750467	0.001359797	0	0	0	0.006336946	0	0	0	0.002219378	0	0	0	0.056592381	0	0.025426781
ENSG00000133026	38.45800458	37.63972314	9.050981916	15.89926054	32.23989151	12.0126045	19.25238028	71.71651922	23.21565231	75.72595991	84.0919764	21.62168135	62.28755483	22.42024665	89.49244057	25.59302161	29.17207775	29.32985165	88.41067218	56.09576826	13.6470448	9.463279803	14.62837547	89.80432542	16.13080039	15.34674823	25.91683042	15.28570483	10.69102607
ENSG00000133027	0	0	0	0	0	0	0	0	0	0	0	0.040346126	0	0.120300986	0	0	0	0	0	0	0	0	0	0	0	0	0	0.086282356	0
ENSG00000133028	2.06493093	8.878024595	4.853960946	6.308801961	0.840092332	4.31297555	9.15991061	1.994950059	0.621592868	2.545775293	1.06986295	11.71291806	26.34350882	14.71971218	3.995458661	0.730177047	2.309383934	3.318448366	1.912878189	3.364715559	0.540157732	6.399650204	16.21330509	0.875687947	1.461977743	1.947309067	1.41725887	22.5365105	5.27986471
ENSG00000133030	2.10653891	6.851373098	3.044108509	3.827724408	4.6093112	3.199411795	4.820934912	15.15189525	3.694446649	8.952354476	6.080913517	1.917473068	8.406302785	2.910656594	20.77737447	5.111252694	13.45243586	10.21743974	11.52898722	4.00044572	5.675291313	5.365892339	3.396730156	5.103069464	12.36993636	4.843512807	4.863692052	7.095805964	2.909369381
ENSG00000133048	0.448179103	0.78654949	2.514429158	2.214027012	13.35669996	0.042250464	0.052322426	0.075187358	0.115870509	0.04441079	0.028181256	0.100058236	0.011638322	0.092019565	0.564287526	0.156068376	1.802671472	0.181040378	0.09954744	0.073407101	0.02367779	0	0.669654918	0.081548951	1.227732611	0.525558311	0.156295969	0.397737296	0.272107949
ENSG00000133055	0	0	0	0	0	0	0.259701232	0.977190122	0.103244684	0.420208787	0.035974877	0	0	0.08524006	0.02346592	0.012801857	0.110985629	0	0.296100831	0	0.053514594	0.043044283	0.032744841	0	0	0	0	0	0.11609545
ENSG00000133056	3.919663618	3.901305856	1.829858723	0.025033318	0.429413941	0.477312178	2.649174644	0.300213424	0.277541504	0.44256081	2.458920393	0.078731784	0.088409987	2.151510924	2.423870645	3.453928441	0.346609813	0.06188985	0.302096773	0.179968045	16.83404021	3.330092932	0.756226119	0.051259633	0.099838259	7.86828961	44.12873287	0.520651647	0.713299609
ENSG00000133059	0	0.035260912	0.013169182	0	0	0.102591862	0.026646684	0	0	0	0	0.064155447	0	0.088286489	0.00527448	0.014304931	0.06876585	0.338972411	0	0.026107512	0	0	0.021209223	0.054816348	0	0.081133422	0.006929537	0	0.035814838
ENSG00000133063	0.030872642	0.044231321	2.662785236	0.431340033	26.9511504	0.043486659	0	0	0	0	0	0.04359254	0.126594676	0.179952237	0.461616129	0.104828867	0.017717603	0.330932007	0.00521869	0	0.017558366	0.488686642	0	0	0.035152205	0.202916301	0	0.015261727	0.014736564
ENSG00000133065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03335443	0	0
ENSG00000133067	0.962451344	0.057464586	0	0	0	0.149726594	0.09379922	0.066160254	0.591515641	0.21500198	0	0.184302614	0	0	0.034715676	0.094884119	0.548312573	0	0.092036474	0.040991083	0.23602208	0.060694844	0.301258718	0.078662697	0.193217321	0.123311752	0	0.80385587	0
ENSG00000133069	0.004631676	0.034900752	0	0	0.314310197	0	0	0	0	0	0	0.051315553	0	0.071878947	0	0	0	0	0	0	0	0	0.032396744	0	0	0	0	0.007129563	0
ENSG00000133083	7.383557972	1.513249929	2.19616295	2.650921695	0.635830126	2.162909569	5.059487163	8.179279195	4.400340743	1.141661878	5.44760384	1.882157246	0.214091646	0.237947441	4.117432655	2.586971015	3.15063062	0.155081003	0.177647668	6.012518812	2.810922101	0.809616996	4.616203862	3.888675887	1.355240755	1.683034136	3.138515987	0.166911913	1.428454593
ENSG00000133103	0.491489774	2.21249253	0.965231702	14.14940582	0.601732237	2.649113461	3.766223057	2.915474034	0.521710034	2.63559902	2.633042682	1.222113329	1.227042251	1.03323738	2.655109457	0.675801734	1.754426899	2.690846724	2.183312441	3.70762163	2.036478871	3.950080312	2.30516679	0.615700202	1.832506942	3.489676633	4.682580755	7.789941774	3.184107474
ENSG00000133104	4.706737924	5.916463275	4.383440585	3.31292218	29.12544966	3.717107179	4.27901485	8.804195575	5.778038258	11.09842573	6.431564084	1.233510263	5.527493863	1.381927634	5.554849278	3.365708905	8.262822025	2.964195438	6.983421716	2.325755739	3.980640006	1.485685163	5.929293106	6.277603297	7.577723438	5.034081001	4.762639228	4.845706583	1.594174165
ENSG00000133106	0.1803652	0.325197607	0	0.153981341	0	0.171400148	0.362553972	0.028499974	0	0	0	0	0.008392748	0.079587973	0.436675433	0.779860685	0.634603914	1.580070599	0	0.176037628	0.517096294	0	0.356985196	0.023870877	0.173328167	0.179314869	0.079714163	0	0.704756733
ENSG00000133110	107.0096706	45.78642636	63.72994195	220.1191284	11.06543561	237.677778	51.64230813	350.4478587	341.3726309	1008.047168	267.8525135	591.6770336	13.61276201	6.581625738	384.7732798	63.6093961	560.2126657	81.35472901	111.0673355	183.0662376	206.998894	16.77612937	13.30710388	603.4934715	5.231947266	219.8365389	20.25969174	129.101709	15.10389126
ENSG00000133111	0	0.535329389	0.465229298	0	0.232788199	0.124755695	0.434858183	0.533521959	0	1.19421684	0.480645242	0	0	0.071654063	1.031149391	1.161971568	3.706887659	1.285839345	0.080202508	0.849087982	0.054788687	0	0.645154217	0.35624392	0.654019464	0.274497126	1.350944703	0.151183324	0.98314441
ENSG00000133112	30.5105206	95.95998743	78.19649395	104.2066815	8.433029794	74.55949656	108.1464413	71.27962499	97.46532354	98.6306085	53.52166292	62.6537908	31.12828028	215.4659301	136.4829299	42.66617485	99.06026408	26.24322701	159.7782806	115.3226096	77.95000112	173.7836047	91.72983997	73.37463709	51.1296779	100.5110379	115.100847	63.40229576	180.2506176
ENSG00000133114	0.364231705	0.398955078	0.478368098	0.390677137	1.057725462	0.225874249	0.942433744	1.638840802	0.437040517	1.914884839	0.483559162	0.061822255	2.099628134	1.109637996	1.242343525	2.156833952	1.853371607	0.339435078	0.223404354	0.39313283	1.720205145	0.068781901	2.52864943	2.354586708	0.526981721	1.051447602	2.131206874	1.2058087	1.60002573
ENSG00000133115	0	0	0	0	0	0	0	0	0.315711723	0.504675418	0	0	0	0.198011927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.479732241
ENSG00000133119	4.842713283	1.669126136	2.116195126	2.09275046	1.758256231	2.513144326	4.086117545	3.618866046	1.506316613	4.628115572	1.412760887	0.784187348	1.243277131	0.781906937	5.654646181	5.097217768	2.990007971	0.180752774	1.012006425	1.353822126	1.930484433	1.269989828	2.690339635	0.82940976	1.519837099	0.867104381	8.940935596	1.906450373	5.115939345
ENSG00000133121	0.195953204	0.112417319	0.119361293	0.339424797	1.075079215	0.091939094	0.305645394	0.523973288	0.236689358	0.184272568	0.268561799	0.111005163	0.094653093	0.054805748	0.093408197	0.028212874	0.110305294	0.113139607	0.732985392	0.111633487	0.257454911	0	0.090932718	0.294778148	0.243520857	0.031686259	0.373867459	0.145002753	0.032776917
ENSG00000133131	0	0	0	0.014585588	0	0.059291682	0	0	0.023239261	4.224486076	0.047437185	0	0	0.0100877	0.037543255	0	0	0	0.220512484	0.222838007	0	0	0	0.346922872	0.02229114	0.22207496	0.027302458	0	0.028330136
ENSG00000133135	0	0	0	0	0	0	0.35608791	0	0	0	0	0	0	0.045192704	0	0	0	0	0	0	0	0	0.374390065	0	0	0	0	0.150897862	0
ENSG00000133138	0.298989912	2.978555765	0.003650603	0.093286095	3.602712253	0.06541091	1.020728875	0.889518879	0.113292461	0.119447084	0.122767798	0.24271068	0.393594582	0.461791952	0.356044651	0.182119872	4.04849968	3.567163183	0.153387544	0.325902864	0.174494918	1.771010597	0.748996404	0.605050495	0.434636072	1.124212319	1.692144947	0.480205755	0.135295514
ENSG00000133142	0.475350194	4.208889219	1.877266171	4.472918515	8.739870156	2.308758387	1.877172254	28.02494803	2.17944211	24.58722478	1.938603071	0.463439461	1.441616892	2.007135347	4.80389889	0.531495962	7.288686097	2.54354353	1.73679983	4.460888945	2.01902308	1.963617417	3.194153957	10.36966609	2.692018261	2.257030121	9.014975684	2.181787812	1.518633932
ENSG00000133193	0	0	0	0	1.216876039	0	0.060652904	0	0	0.298981392	0	0.164541406	0	0	0	0	0	0	0.012603815	0	0	1.294293527	0	0	0	0	0	0	0.422352477
ENSG00000133216	0.147642382	0.139466357	0.766086024	2.130030715	0.129539466	1.323260022	0.836301491	1.179830572	0.782262863	1.389219764	0.35642494	0.068141928	0.394794281	0.022976556	0.256358631	0.20462922	0.339589794	0.177589131	1.131431769	0.413557055	1.356512855	0.209996117	1.715460985	0.043757824	0.457818035	0.122672706	0.080378984	1.548229559	0.140199003
ENSG00000133226	2.174646498	7.051487576	14.39985484	6.294381233	1.655596794	18.93070731	10.92459817	11.58165521	7.589093363	8.148427502	6.644627745	1.665615492	7.21367786	8.17002046	7.588744322	8.320665991	3.910554868	0.972788795	3.967635662	13.2027685	5.748173735	3.148070374	8.248054234	17.5632259	4.224791396	16.93218141	8.552120155	10.23810487	16.06488956
ENSG00000133243	0.354651078	0.145743096	0.263412293	1.800169888	0.424618291	0.073123238	4.209241286	0.878060474	0.849018252	0.285911925	0.728203651	0.191297299	1.462915435	0.1355991	0.332255457	0.053859362	0.600298267	0.548710652	0.65876402	1.871478923	0.336725793	0	1.091357391	0.433694472	0.421788238	0.177341718	0.83697492	0.358635728	0.433545888
